Id,CurrencyId,AsAt,Rate,CreateDate
10151,784,01/01/2020,3.7944,22/12/2022 11:32
10152,32,01/01/2020,61.8022,22/12/2022 11:32
10153,36,01/01/2020,1.4736,22/12/2022 11:32
10154,975,01/01/2020,1.8001,22/12/2022 11:32
10155,986,01/01/2020,4.1569,22/12/2022 11:32
10156,124,01/01/2020,1.3445,22/12/2022 11:32
10157,756,01/01/2020,1,22/12/2022 11:32
10158,152,01/01/2020,775.6237,22/12/2022 11:32
10159,156,01/01/2020,7.202,22/12/2022 11:32
10160,170,01/01/2020,3345.3795,22/12/2022 11:32
10161,203,01/01/2020,23.4216,22/12/2022 11:32
10162,208,01/01/2020,6.883,22/12/2022 11:32
10163,214,01/01/2020,54.6088,22/12/2022 11:32
10164,818,01/01/2020,16.5577,22/12/2022 11:32
10165,978,01/01/2020,0.9213,22/12/2022 11:32
10166,826,01/01/2020,0.7836,22/12/2022 11:32
10167,320,01/01/2020,7.9553,22/12/2022 11:32
10168,344,01/01/2020,8.0469,22/12/2022 11:32
10169,191,01/01/2020,6.8481,22/12/2022 11:32
10170,348,01/01/2020,304.4412,22/12/2022 11:33
10171,360,01/01/2020,14440.28,22/12/2022 11:33
10172,376,01/01/2020,3.5726,22/12/2022 11:33
10173,356,01/01/2020,73.7305,22/12/2022 11:33
10174,352,01/01/2020,125.0603,22/12/2022 11:33
10175,392,01/01/2020,112.344,22/12/2022 11:33
10176,410,01/01/2020,1193.9136,22/12/2022 11:33
10177,398,01/01/2020,392.57,22/12/2022 11:33
10178,484,01/01/2020,19.5121,22/12/2022 11:33
10179,458,01/01/2020,4.2333,22/12/2022 11:33
10180,578,01/01/2020,9.0787,22/12/2022 11:33
10181,554,01/01/2020,1.534,22/12/2022 11:33
10182,590,01/01/2020,1.0333,22/12/2022 11:33
10183,604,01/01/2020,3.4252,22/12/2022 11:33
10184,608,01/01/2020,52.3392,22/12/2022 11:33
10185,586,01/01/2020,159.9662,22/12/2022 11:33
10186,985,01/01/2020,3.9222,22/12/2022 11:33
10187,600,01/01/2020,6411.9774,22/12/2022 11:33
10188,946,01/01/2020,4.405,22/12/2022 11:33
10189,643,01/01/2020,64.2225,22/12/2022 11:33
10190,682,01/01/2020,3.8762,22/12/2022 11:33
10191,752,01/01/2020,9.6352,22/12/2022 11:33
10192,702,01/01/2020,1.3913,22/12/2022 11:33
10193,764,01/01/2020,30.8289,22/12/2022 11:33
10194,949,01/01/2020,6.1481,22/12/2022 11:33
10195,901,01/01/2020,31.0071,22/12/2022 11:33
